White Rat,Son of the Harpy,Knife,Blade,Attacked as part of the Sons of the Harpy’s revolt against Daenerys for her abolishment of slavery,Meereen,House Targaryen,No Second Allegiance,Minor Character
Mance Rayder,Jon Snow,Arrow,Arrow,Mercy killing to spare him more agony from being burned to death by Stannis Baratheon,Castle Black,Free Folk,No Second Allegiance,Major Character
Arryn soldier,Brienne of Tarth,Sword (Oathkeeper),Blade,Tried to capture Brienne after she confronted Petyr Baelish at an inn,The Vale,House Arryn,House Baelish,Background Extra
Arryn soldier,Brienne of Tarth,Sword (Oathkeeper),Blade,Attacked Podrick while trying to capture Brienne after she confronted Petyr Baelish at an inn,The Vale,House Arryn,House Baelish,Background Extra
Arryn soldier,Brienne of Tarth,Sword (Oathkeeper),Blade,Tried to capture Brienne after she confronted Petyr Baelish at an inn,The Vale,House Arryn,House Baelish,Background Extra
Unknown dwarf,Bounty hunter,Unknown,Unknown,"Cersei offered a lordship to anyone who brought her Tyrion’s head, leading to the deaths of many dwarves",King’s Landing,Smallfolk,No Second Allegiance,Background Extra
Pigeon,Arya Stark,Sword (Needle),Blade,Killed for food,Braavos,Unknown,No Second Allegiance,Background Extra
Son of the Harpy,Mossador,Nail,Household item,Killed to send a message to the Sons of Harpy,Meereen,Sons of the Harpy,Great Masters,Background Extra
Mossador,Daario Naharis,Arakh,Blade,Executed for killing a Son of the Harpy against Daenerys’s orders,Meereen,House Targaryen,No Second Allegiance,Secondary Major
Braavosi man,Jaqen H’ghar,Poisoned water,Poison,Sought death from the House of Black and White,Braavos,Unknown,No Second Allegiance,Background Extra
Janos Slynt,Jon Snow,Sword (Longclaw),Blade,Executed for refusing to obey the orders of Lord Commander Jon Snow,Castle Black,Night’s Watch,House Baratheon of King’s Landing,Secondary Major
Rat,Qyburn,Knife,Blade,Killed as part of experiments,King’s Landing,Unknown,No Second Allegiance,Background Extra
Snake,Bronn,Knife,Blade,Killed for food,Dorne,Unknown,No Second Allegiance,Background Extra
Martell soldier,Bronn,Knife,Blade,Killed when Bronn and Jaime Lannister attempt to sneak into Dorne,Dorne,House Martell,No Second Allegiance,Background Extra
Martell soldier,Bronn,Sword,Blade,Killed when Bronn and Jaime Lannister attempt to sneak into Dorne,Dorne,House Martell,No Second Allegiance,Background Extra
Horse,Bronn,Sword,Blade,Killed when Bronn and Jaime Lannister attempt to sneak into Dorne,Dorne,Unknown,No Second Allegiance,Background Extra
Martell soldier,Jaime Lannister,Sword,Blade,Killed when Bronn and Jaime Lannister attempt to sneak into Dorne,Dorne,House Martell,No Second Allegiance,Background Extra
Merchant ship captain,Obara Sand,Spear,Polearm,Symbol of Obara’s willingess to go to war against the Lannisters,Dorne,Unknown,No Second Allegiance,Minor Character
Second son,Son of the Harpy,Knife,Blade,Attacked during the Sons of the Harpy’s revolt against Daenerys for her abolishment of slavery,Meereen,House Targaryen,No Second Allegiance,Background Extra
Second son,Son of the Harpy,Knife,Blade,Attacked during the Sons of the Harpy’s revolt against Daenerys for her abolishment of slavery,Meereen,House Targaryen,No Second Allegiance,Background Extra
Second son,Son of the Harpy,Knife,Blade,Attacked during the Sons of the Harpy’s revolt against Daenerys for her abolishment of slavery,Meereen,House Targaryen,No Second Allegiance,Background Extra
